Date,RFID_hex,Band,Genus,Species,Sex,Age,Time,Site,Mass,Tail_Length,Wing_Length,Fat_Code,R1_Percent_Rufous,R1_Black_Code,Back_Percent_Green,Gorget_Iridescence,Head_Iridescence,Breeding_Condition_Code,Body_Molt_Code,Gorget_Molt_Code,Head_Molt_Code,Tail_Molt_Code,Primary_Molt_Code
2018-11-16,3D6.1D593D7866,910070772,Calypte,ANHU,F,AHY,16:20:00,BH,NA,NA,0,0,NA,NA,NA,1,0,NA,0,0,0,NA,0
2018-11-16,3D6.1D593E1A14,A00000873,Selasphorus,ALHU,M,HY,16:15:00,BH,NA,NA,41,0,80,NA,90,1,NA,NA,0,0,0,0,0
2018-11-16,3D6.1D593E1A02,A00000872,Selasphorus,ALHU,F,NA,16:14:00,BH,NA,26,42,0,50,NA,95,28,NA,0,0,0,0,0,0
2018-11-16,3D6.1D593E1A0C,A00000870,Calypte,ANHU,F,NA,15:56:00,BH,NA,NA,0,0,NA,NA,NA,26,0,0,0,0,0,NA,0
2018-11-16,3D6.1D593E19D8,A00000871,Calypte,ANHU,M,HY,15:45:00,BH,NA,NA,0,0,NA,NA,NA,1,1,NA,1,1,1,0,0
2018-11-16,3D6.1D593D77C7,A00000875,Calypte,ANHU,F,NA,15:39:00,BH,NA,NA,0,0,NA,NA,NA,42,NA,0,0,0,0,0,0
2018-11-16,3D6.1D593E19E2,A00000869,Calypte,ANHU,M,AHY,15:27:00,BH,NA,NA,0,0,NA,NA,NA,10,10,NA,2,2,2,0,0
2018-11-16,3D6.1D593E1A10,A00000868,Selasphorus,ALHU,M,HY,15:15:00,BH,NA,NA,41,0,70,NA,95,1,NA,NA,0,0,0,0,0
2018-11-16,3D6.1D593E1A06,A00000867,Selasphorus,ALHU,F,NA,14:50:00,BH,NA,NA,43,0,40,NA,95,6,NA,0,0,0,0,NA,0
2018-11-16,3D6.1D593E19FC,A00000866,Selasphorus,ALHU,F,NA,14:45:00,BH,NA,NA,0,0,NA,NA,100,5,NA,NA,0,0,0,3,NA
2018-11-16,3D6.1D593E19E7,A00000865,Selasphorus,ALHU,F,NA,14:28:00,BH,NA,NA,42,0,NA,NA,NA,10,NA,NA,0,0,0,0,0
2018-11-16,3D6.1D593E19C3,A00000864,Selasphorus,ALHU,F,AHY,14:15:00,BH,NA,28,43,0,40,2,NA,20,NA,0,0,0,0,0,0
2018-11-16,3D6.1D593E19DD,A00000863,Selasphorus,ALHU,M,HY,14:00:00,BH,NA,NA,40,0,80,NA,90,NA,NA,NA,0,0,0,0,0
2018-11-16,3D6.1D593E19CE,A00000862,Calypte,ANHU,M,HY,14:00:00,BH,NA,NA,0,0,NA,NA,NA,2,1,NA,0,0,0,0,0
2018-11-16,3D6.1D593E19D6,A00000861,Selasphorus,ALHU,F,NA,13:50:00,BH,NA,27,43,0,30,2,95,26,NA,0,0,0,0,NA,NA
2018-11-16,3D6.1D593E19D2,A00000860,Selasphorus,ALHU,M,NA,13:45:00,BH,NA,NA,39,0,NA,NA,95,10,NA,NA,0,0,0,0,0
2018-11-16,3D6.1D593D7866,910070772,Calypte,ANHU,F,AHY,11:45:00,BH,NA,NA,49,0,NA,NA,NA,3,0,0,0,0,0,0,0
2018-11-16,3D6.1D593E19FB,A00000858,Calypte,ANHU,F,NA,11:35:00,BH,NA,NA,0,0,NA,NA,NA,30,0,0,0,0,0,1,NA
2018-11-16,3D6.1D593E19BA,A00000859,Calypte,ANHU,F,NA,11:28:00,BH,NA,NA,0,0,NA,NA,NA,20,0,0,NA,NA,NA,0,NA
2018-11-16,3D6.1D593E1A80,A00000857,Selasphorus,ALHU,M,HY,11:26:00,BH,NA,NA,42,0,85,NA,95,2,NA,NA,0,0,0,1,0
2018-11-16,3D6.1D593E1A78,A00000855,Selasphorus,ALHU,F,NA,10:53:00,BH,NA,26,3.3,0,30,2,95,NA,NA,NA,0,0,0,NA,NA
2018-11-16,3D6.1D593E1A30,A00000854,Selasphorus,ALHU,M,NA,10:53:00,BH,NA,NA,38,0,80,NA,80,10,NA,NA,0,0,0,0,0
2018-11-16,3D6.1D593D7840,610089598,Calypte,ANHU,M,AHY,10:51:00,BH,NA,NA,0,0,NA,NA,NA,10,10,NA,0,0,0,0,0
2018-11-16,3D6.1D593E19FD,A00000856,Selasphorus,ALHU,F,NA,10:25:00,BH,NA,NA,44,0,30,2,95,13,NA,0,0,0,0,0,0
2018-11-16,3D6.1D593E1A35,A00000853,Calypte,ANHU,M,NA,10:09:00,BH,NA,NA,0,0,NA,NA,NA,10,10,NA,0,0,0,0,0
2018-11-16,3D6.1D593E19EB,A00000852,Selasphorus,ALHU,M,HY,10:09:00,BH,NA,NA,42,0,NA,NA,90,2,NA,NA,0,0,0,5,7
2018-11-16,3D6.1D593E1A17,A00000851,Calypte,ANHU,M,AHY,10:08:00,BH,NA,NA,0,0,NA,NA,NA,10,10,NA,0,0,0,0,0
2018-11-16,3D6.1D593D77E7,610089607,Selasphorus,ALHU,M,NA,09:20:00,BH,NA,NA,0,0,80,NA,90,2,NA,NA,2,4,0,NA,NA
2018-11-16,3D6.1D593E1A15,A00000850,Calypte,ANHU,F,AHY,09:20:00,BH,NA,NA,0,0,NA,NA,NA,18,0,0,0,0,0,0,0
2018-11-16,3D6.1D593E19EC,A00000849,Calypte,ANHU,M,NA,09:20:00,BH,NA,NA,0,0,NA,NA,NA,10,10,NA,0,0,0,0,0
2018-11-16,3D6.1D593E19F1,A00000848,Calypte,ANHU,M,NA,09:20:00,BH,NA,NA,0,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,0
2018-11-16,3D6.1D593E19BF,A00000847,Selasphorus,ALHU,F,NA,08:32:00,BH,NA,NA,43,0,50,2,95,NA,NA,0,0,0,0,0,0
2018-11-16,3D6.1D593E19FE,A00000846,Selasphorus,ALHU,F,NA,08:32:00,BH,NA,26,42,0,20,2,100,15,NA,0,0,0,0,2,0
2018-11-16,3D6.1D593E1A12,A00000845,Calypte,ANHU,F,HY,08:32:00,BH,NA,NA,0,0,NA,NA,NA,22,0,0,0,0,0,0,0
2018-11-16,3D6.1D593E1A13,A00000844,Calypte,ANHU,M,HY,08:32:00,BH,NA,NA,0,0,NA,NA,NA,3,1,NA,0,0,0,0,0
2018-11-16,3D6.1D593D45F5,610089498,Calypte,ANHU,F,NA,08:28:00,BH,NA,NA,0,0,NA,NA,NA,22,0,NA,0,0,0,0,0
